name,rating,acs,k,d,a,k-d,kast%,adr,hs%,fk,fd,fd/fd/diff,org
zekken,1.46,339,22,14,7,8,76,222,30,7,4,3,SEN
Sacy,1.42,245,19,10,9,9,86,161,39,0,2,-2,SEN
Zellsis,1.26,204,16,10,6,6,86,131,21,1,0,1,SEN
TenZ,1.07,188,13,13,14,0,76,127,12,1,1,0,SEN
johnqt,0.97,134,10,11,5,-1,67,96,46,2,2,0,SEN
s0m,0.93,210,14,17,6,-3,71,142,28,4,4,0,NRG
Ethan,0.92,191,14,15,10,-1,76,121,29,3,0,3,NRG
Victor,0.72,164,11,17,5,-6,57,116,21,2,6,-4,NRG
FiNESSE,0.72,122,9,16,4,-7,62,79,15,1,0,1,NRG
crashies,0.66,134,10,16,4,-6,52,92,40,0,2,-2,NRG
TenZ,1.34,229,23,16,10,7,77,140,29,4,2,2,SEN
zekken,1.3,294,24,19,14,5,77,206,28,5,4,1,SEN
Zellsis,1.18,220,21,14,16,7,81,138,22,1,1,0,SEN
Sacy,0.96,191,19,16,8,3,77,132,33,3,3,0,SEN
johnqt,0.89,166,15,17,4,-2,73,108,26,1,2,-1,SEN
Ethan,1.04,198,18,19,13,-1,73,117,21,2,3,-1,NRG
s0m,1.04,180,16,18,15,-2,77,123,19,0,2,-2,NRG
Victor,0.91,273,23,24,5,-1,65,177,26,7,7,0,NRG
crashies,0.86,141,13,19,10,-6,62,92,15,1,1,0,NRG
FiNESSE,0.68,144,12,22,4,-10,46,100,17,2,1,1,NRG
Less,1.62,256,20,9,6,11,85,170,36,2,1,1,LOUD
saadhak,1.25,299,20,15,7,5,85,188,22,3,4,-1,LOUD
cauanzin,1.1,236,17,13,8,4,75,146,22,0,4,-4,LOUD
tuyz,1.0,186,14,12,5,2,70,119,29,0,2,-2,LOUD
pANcada,0.94,135,11,11,9,0,80,76,33,2,2,0,LOUD
jawgemo,1.16,301,19,18,7,1,90,207,23,8,1,7,EG
supamen,1.14,273,20,16,4,4,70,165,53,1,2,-1,EG
NaturE,0.75,96,6,14,7,-8,75,63,22,1,1,0,EG
Derrek,0.57,96,7,16,7,-9,50,65,21,1,0,1,EG
Apoth,0.45,134,8,18,1,-10,45,90,25,2,3,-1,EG
pANcada,1.03,173,12,13,9,-1,74,126,32,1,3,-2,LOUD
Less,0.97,197,14,12,2,2,68,137,24,1,1,0,LOUD
cauanzin,0.95,214,14,15,8,-1,84,159,31,1,1,0,LOUD
saadhak,0.84,198,11,16,5,-5,68,135,23,2,5,-3,LOUD
tuyz,0.63,143,9,15,3,-6,68,103,40,2,2,0,LOUD
jawgemo,1.42,324,22,14,5,8,74,206,22,8,1,7,EG
Derrek,1.3,211,15,10,8,5,84,126,33,1,0,1,EG
Apoth,1.06,223,15,13,4,2,79,140,27,2,1,1,EG
NaturE,1.0,141,9,12,12,-3,79,101,38,1,2,-1,EG
supamen,0.98,148,10,11,10,-1,79,82,56,0,3,-3,EG
tuyz,1.26,251,22,15,6,7,83,172,29,2,1,1,LOUD
cauanzin,1.08,260,21,17,7,4,83,179,25,4,2,2,LOUD
Less,0.94,205,17,15,5,2,58,122,21,1,3,-2,LOUD
saadhak,0.88,174,15,17,6,-2,67,114,28,3,4,-1,LOUD
pANcada,0.81,148,12,14,6,-2,58,114,41,1,3,-2,LOUD
Derrek,1.24,223,20,15,8,5,75,160,33,1,0,1,EG
jawgemo,1.09,211,17,17,3,0,71,129,24,5,1,4,EG
NaturE,0.99,169,13,16,5,-3,63,118,31,4,1,3,EG
supamen,0.93,216,20,21,2,-1,67,129,47,2,7,-5,EG
Apoth,0.68,108,8,18,7,-10,63,74,17,1,2,-1,EG
